candidate_id,award_type,detail
39,Merit Scholarships,Fellowship for PhD program at Free University of Bozen-Bolzano
39,Academic Awards,"Outstanding Thesis Award â€“ PhD in Advanced Systems Engineering, Free University of Bozen-Bolzano"
40,Scholarship,"HEC UESTP scholarship for PhD in Hanyang University, South Korea"
40,Academic,Gold Medalist in MS Electrical Engineering
42,Academic,Bronze Medal at Masterâ€™s Convocation
42,Scholarship,Research incentive funding by TÃœBÄ°TAK
42,Competition,7th position in 4th University Patent Competition
43,Membership,PEC Engineer membership
43,Scholarship,"Ph.D. Scholarship at Kyungpook National University, Daegu, South Korea"
43,Academic Award,"Won an Excellent Paper Award in the 7th International Conference on Artificial Intelligence in Information and Communication (ICAIIC 2025), Japan"
