candidate_id,degree_name,specialization,institution_name,grade_value,grade_metric,passing_year,is_sse_hssc,qs_ranking,the_ranking
8,MATRIC,SCIENCE,Bise D.G.Khan,67.5,Percentage,2003,1,,
9,Electrical Engineering,Electrical Engineering,Lahore University Of Management Sciences,3.1,GPA,2015,0,,
9,PhD in Electrical Engineering,Power Systems,University Of North Carolina Charlotte Usa,3.8,GPA,2024,0,,
9,Masters in Electrical Engineering,Power Systems,University Of New South Wales Sydney Australia,76,Percentage,2017,0,,
9,Pre Engineering,Pre-Engineering,Cambridge A Levels,95,Percentage,2011,1,,
9,Pre Engineering,Pre-Engineering,Cambridge O Levels,90,Percentage,2009,1,,
10,Postdoc,nil,Nanjing University Of Aeronautics And Astronautics,,Unknown,2025,0,,
10,PhD,Nonlinear Optical Fiber Communication,"Iqra National University, Peshawar, Paksitan",3.2,GPA,2019,0,,
10,MS,Electrical Engineering,Sarhad Of Science And Information Technology,3.14,GPA,2014,0,,
10,BE,Electrical Engineering,Sarhad University Of Science And Information Technology,3.07,GPA,2012,0,,
10,DAE,Electrical,Bte Peshawar,60,Percentage,2007,1,,
10,SSC,,Bise Mardan,60,Percentage,2004,1,,
11,PhD in Computer Engineering,"Computer Vision, Temporal Human Action Detection",University Of Engineering And Technology Taxila,3.83,GPA,2019,0,,
11,MS in Computer Engineering,Signal and Image Processing,University Of Engineering And Technology Taxila,3.62,GPA,2015,0,,
11,BS in Electrical (Computer Engineering),Computer Engineering,COMSATS University,3.65,GPA,2013,0,,
11,HSSC,Pre-Engineering,Bise Abbottabad,74,Percentage,2009,1,,
11,SSC,Science,Bise Abbottabad,72,Percentage,2007,1,,
12,doctor of philosphy,power electronics,Iqra National University,3.58,GPA,2023,0,,
12,MSc,communication,Cecos University,3.13,GPA,2013,0,,
12,BSc Electrical Engineering,Electrical Engr,University Of Engineering And Technology Peshawar,769,Percentage,2007,0,,
12,INTERMEDIATE,pre-engr,Peshawar Board,75,Percentage,2003,1,,
12,Federal Board of Intermediate and science,science,Federal Board Of Education/Army Public School,72.47,Percentage,2000,1,,
12,matric,science,Federal,80,Percentage,2000,1,,
13,PhD,power electronics and power drives,Jiangsu University,86,Percentage,2020,0,,
13,MS,Electronics Engineering,International Islamic University Islamabad,3.75,GPA,2014,0,,
13,BS,Electrical Engineering,The University Of Faisalabad,3.28,GPA,2009,0,,
13,Fsc,Pre Engineering,Bise Faisalabad,59,Percentage,2004,1,,
13,Matric,Science,Bise Faisalabad,76,Percentage,2002,1,,
14,Doctor of Engineering,Interdisciplinary,University Of Tokyo,3.91,GPA,2019,0,,
14,Masters in Science,Thin film fabrication,University Of Tokyo,3.61,GPA,2016,0,,
14,Electrical Engineering,Computers,Uet-Taxila,3.01,GPA,2010,0,,
14,A-Levels,,Cambridge,78.7,Percentage,2006,1,,
14,O-Levels,,Cambridge,81.1,Percentage,2004,1,,
15,PhD,Electrical and electronics engineering,University Of Kassel,4,GPA,2014,0,,
15,M.Sc.,Electrical and electronics engineering,University Of Kassel,4,GPA,2010,0,,
15,Postgraduate Diploma,Telecommunications Engineering Technology,National University Of Sciences And Engineering,2.67,GPA,2007,0,,
15,B.Sc.,Electrical and electronics engineering,"University Of Engineering And Technology, Taxila",80,Percentage,2005,0,,
15,Higher Secondary School Examination,Pre-Engineering,Federal Board,83,Percentage,2001,1,,
15,Secondary School Certificate Examination,Science,Federal Board,84,Percentage,1999,1,,
16,PostDoc,Multimodal Data Processing and Machine Learning,University Of East London,0,GPA,2026,0,,
16,PhD,Artificial Intelligence and Pervasive Computing,University of Engineering and Technology,4,GPA,2020,0,,
16,MS,Signal and Image Processing,University of Engineering and Technology,3.96,GPA,2017,0,,
16,BS,Computer Engineering,University of Engineering and Technology,4,GPA,2014,0,,
16,ICS,Computer Science,"Fbise, Islamabad",90,Percentage,2010,1,,
16,SSC,Science,Bise Rawalpindi,87.88,Percentage,2008,1,,
17,PhD,"Electrical Energy Policy, Energy Trading, Smart Grid Technology",University Of Electronic Science And Engineering,3.6,GPA,2020,0,,
17,MBA,Human Resource Management,"Iba, Punjab University",3.03,GPA,2012,0,,
17,MSc,Electrical Electronics and Communication Engineering,The University Of Lahore,3.25,GPA,2016,0,,
17,BE,Electrical Engineering,The University Of Lahore,2.88,GPA,2011,0,,
17,F.Sc,Pre-Engg,Bise Lahore,65,Percentage,2002,1,,
17,Matric,Science,Bise Lahore,77,Percentage,2000,1,,
18,Doctor of Science in Communication Engineering,Communication Engineering,University Of Oulu,5,GPA,2024,0,,
18,Master of Science,Communication Systems,Linkoping University,4.07,GPA,2011,0,,
18,Bachelor of Science,Telecommunication Engineering,National University Of Computer And Emerging Sciences,3,GPA,2007,0,,
18,Higher Secondary School Certificate,Pre-Engineering,Federal Board Of Intermediate And Secondary Education,72.7,Percentage,2003,1,,
18,Secondary School Certificate,Pre-Engineering,Federal Board Of Intermediate And Secondary Education,73.73,Percentage,2001,1,,
19,PhD (Electrical Engineering),Development of Improved Metaheuristic Optimization Algorithms for Optimal Economic Dispatch of Renewable Energy Sources.,The University Of Lahore,3.62,CGPA,2022,0,,
19,MS (Electrical Engineering),Power Factor Monitoring and Load Management using Smart Metering Techniques.,The University Of Lahore,3.2,CGPA,2014,0,,
19,BSc (Electrical Engineering),Online Monitoring of Electricity Data and Wireless Transmission using Radio Frequency,"Uet, Lahore",2.87,CGPA,2010,0,,
19,FSc (Pre-Engineering),"Physics, Chemistry, Mathematics","Bise, Gujranwala",81,Percentage,2006,1,,
19,Matric,Science,Bise Gujranwala,67,Percentage,2004,1,,
20,PhD,Computer and Control Engineering Next Generation Optical Networks,National University of Sciences and Technology,,Unknown,2024,0,,
20,MS,Telecommunication and Networking Communication,Politecnico Di Torino,2.63,GPA,2017,0,,
20,BS,Electronics Engineering Communication,Bahria Islamabad,2.69,GPA,2012,0,,
20,FSc,Pre-Eng,COMSATS University,67,Percentage,2004,1,,
20,Matric,Science,Mirpur Bise,74,Percentage,2002,1,,
21,PhD in Electrical Engineering,Biomedical Signal Processing,National University of Computer and Emerging Sciences,3.56,GPA,2021,0,,
21,Electrical Engineering,Electrical Engineering,Cecos University,3.13,GPA,2015,0,,
21,Bachelors in Electrical Engineering,Electrical Engineering,Cecos University,3.2,GPA,2009,0,,
21,Higher Secondary School Certificate,Pre-Engineering,"Board Of Intermediate And Secondary Education, Peshawar",61.36,Percentage,2004,1,,
21,Secondary School Certificate,Science,"Board Of Intermediate And Secondary Education, Peshawar",73.76,Percentage,2002,1,,
22,Ph D,Mechatronics/ AI,Air University,3.74,GPA,2023,0,,
22,MS,Mechatronics/ AI,Air University,3.56,GPA,2017,0,,
22,BSc,Electronics,"Federal Urdu University Of Arts, Science And Technology",3.49,GPA,2009,0,,
22,HSSC,Pre Engineering,Federal Board,53,Percentage,2005,1,,
22,SSC,Science,Rawalpindi Board,76,Percentage,2003,1,,
23,PhD,"Electrical Engineering, Electroics and Communication","Uet, Taxila",3.16,GPA,2022,0,,
23,MS,"Electrical Engineering, Electronics and Communication","Uet, Taxila",3.41,GPA,2010,0,,
23,Electronics Engineering,Electronics and Communication,University of Engineering and Technology,76.07,Percentage,2002,0,,
23,F.Sc,Pre-Engineering,Faisalabad Board,74.81,Percentage,1995,1,,
23,Science,Science,Faisalabad Board,81.87,Percentage,1993,1,,
24,Doctor of Philosophy,Electrical Telecommunication Engineering,Universiti Tun Hussein Onn Malaysia (Uthm),94,Percentage,2025,0,,
24,Master of Electrical Engineering,Telecommunication,Universiti Tun Hussein Onn Malaysia (Uthm),91,Percentage,2022,0,,
24,Bachelor of Engineering,Electronic Electronics,"Quaid E Awam University Of Engineering, Sciences & Technology (Nawabshah)",81,Percentage,2018,0,,
24,Higher Secondary Certificate,Pre-Engineering,Board Of Intermediate And Secondary Education Hyderabad (Biseh),68,Percentage,2013,1,,
24,Secondary School Certificate,Science,Board Of Intermediate And Secondary Education Hyderabad (Biseh),75,Percentage,2011,1,,
25,Postdoc,Remote Sensing,University Parthenope Naples,80,Percentage,2024,0,,
25,PhD,Remote Sensing and Radar,National University Of Science And Technology,3.8,CGPA,2023,0,,
25,MS,Information and Communication Systems Signal Processing,Politehnica Bucharest,3.5,CGPA,2020,0,,
25,BS,Telecommunication Engineering,Government College University Faisalabad,3.5,CGPA,2015,0,,
25,FSC Pre Engineering,"Math, Physics",Bise Multan,79,Percentage,2010,1,,
25,Matric,Science,Fbise,76,Percentage,2008,1,,
26,PhD,Internet of thing,National University of Sciences and Technology,3.5,GPA,2022,0,,
26,MS,Internet of thing,University Of Lahore,3.64,GPA,2017,0,,
26,BS,Computer Engineering,COMSATS University,73,Percentage,2013,0,,
26,FSc,Pre Engineering,Kiu,69,Percentage,2008,1,,
26,SSC,Science,Fbise,69,Percentage,2006,1,,
27,Intelligent Mechatronics Engineering,Computer Networks,Sejong University,4.13,CGPA,2024,0,,
27,Computer Engineering,Computer Networks,Hongik University,4.31,CGPA,2020,0,,
27,Electrical (Computer) Engineering,"Computer Architecture, Computer Networks",COMSATS University,3.26,CGPA,2015,0,,
27,FSc Pre Engineering,,Bise D I Khan,64,Percentage,2011,1,,
27,Matric,Science,Bise D I Khan,74,Percentage,2008,1,,
28,PhD,"Electrical Power System, High Voltage, Artifical Intellegence",Universiti Tun Hussein Onn Malaysia,85,Percentage,2025,0,,
28,MS,Electrical Power Engineering,Cecos University Of It And Emerging Sciences,3.04,GPA,2019,0,,
28,BS,Electrical communication engineering,"University Of Engineering And Technology, Peshawar",2.27,GPA,2014,0,,
28,FSc pre-engineering,Pre engineering,Peshawar Board,72.9,Percentage,2009,1,,
28,Science,Science,Peshawar Board,70.28,Percentage,2006,1,,
29,PhD,Electrical Engineering,Cust,4,GPA,2024,0,,
29,MS,Computer Engineering,University of Engineering and Technology,3.3,GPA,2011,0,,
29,BE,Electrical Engineering,National University of Sciences and Technology,3.57,GPA,2006,0,,
29,HSSC,Pre-Engineering,Fbise,76,Percentage,2002,1,,
29,SSC,Science,Fbise,77,Percentage,2000,1,,
30,PhD,Information and Communication Engineering,University Of Science And Technology Of China,3.68,GPA,2021,0,,
30,MSc,Microelectronic System and Telecommunication Engineering,University Of Liverpool,81,Percentage,2008,0,,
30,BE,Electrical Engineering,National University of Sciences and Technology,2.5,GPA,2006,0,,
30,HSSC,Pre-Engineering,Fbise,76,Percentage,2002,1,,
30,SSC,Science,Fbise,85,Percentage,2000,1,,
31,PhD,Electrical Engineering,Lahore University Of Management Science,3.2,GPA,2025,0,,
31,MS,Telecommunication and Networks,National University Of Science And Technology,3.47,GPA,2018,0,,
31,BS,Computer Engineering,Bahauddin Zikriya University,3.88,GPA,2014,0,,
31,FSc,Pre Engineering,Multan Board,61,Percentage,2010,1,,
31,Matric,Science,Multan Board,69,Percentage,2007,1,,
32,Ph.D.,Electrical Engineering,University of Engineering and Technology,3.95,GPA,2021,0,,
32,M.Sc.,Electrical Engineering,University of Engineering and Technology,3.88,GPA,2006,0,,
32,B.Sc.,Electrical Engineering,University of Engineering and Technology,76,Percentage,2001,0,,
32,F.Sc.,Pre-Engineering,Peshawar,81.18,Percentage,1996,1,,
32,SSC,Science,Peshawar,82.3,Percentage,1994,1,,
33,Electrical Engineering,Power Systems,The Islamia University Of Bahawalpur,3.95,GPA,2025,0,,
33,Electrical Engineering,Power Systems,National University of Sciences and Technology,3.9,GPA,2019,0,,
33,Electrical Engineering,Power,The Islamia University Of Bahawalpur,3.73,GPA,2016,0,,
33,Pre-Engineering,Pre-Engineering,Bahawalpur Board,80,Percentage,2012,1,,
33,Science,Science,Bise Multan,88,Percentage,2009,1,,
34,PhD,Electronic Energy Harvesting and Self-Powered Sensor,Jeju National University,4.33,GPA,2025,0,,
34,MS,Electronic Engineering,Jeju National University,4.38,GPA,2021,0,,
34,BS,Electronic Engineering,International Islamic University Islamabad (Iiui),3.55,GPA,2018,0,,
34,F.Sc,Pre-Engineering,Board Of Intermediate And Secondary Education Rawalpindi,71.27,Percentage,2013,1,,
34,Matric,Science group,Board Of Intermediate And Secondary Education Rawalpindi,76.19,Percentage,2010,1,,
35,PhD in Electrical Engineering,Design of PM Machines,Kunsan National University,4.29,GPA,2023,0,,
35,MS Electrical Engineering,Design of Electric Machines,Kunsan National University,4.25,GPA,2019,0,,
35,B.Sc Electrical Engineering,Electrical Engineering (Electronics),Federal Urdu University Of Arts Science And Technology,3.13,GPA,2015,0,,
35,Higher Secondary School Certificate,Pre-Engineering,Federal Board Of Intermediate And Secondary Education,68.45,Percentage,2010,1,,
35,Secondary School Certificate,Science,Federal Board Of Intermediate And Secondary Education,61.65,Percentage,2008,1,,
36,Doctorate,Microelectronics - Analog IC Design,University Paris Saclay (Centralesupelec),,Unknown,2023,0,,
36,Master,E3A -M2 Integration circuits-systemes,University Paris Saclay,70.75,Percentage,2018,0,,
36,B.Sc. Engineering,Electronics,Islamia University Of Bahawalpur,3.79,GPA,2014,0,,
36,Higher Secondary School,Pre-Engineering,Fbise,78.81,Percentage,2010,1,,
36,Secondary School,"MATHS, PHYSICS, CHEMISTRY, BIOLOGY",Fbise,83.41,Percentage,2008,1,,
37,PhD,computer Engineering,Kfueit,3.34,GPA,2025,0,,
37,MS,Electronics Engineering,The Islamia University Of Engineering Bahawalpur,3.47,GPA,2020,0,,
37,BS,Telecommunication Engineering,The Islamia University Of Engineering Bahawalpur,3.15,GPA,2017,0,,
37,ICS,"Phy, Math, Computer",Bise Bahawalpur,65,Percentage,2013,1,,
37,Matric,"Phy, Math, Ch, Bio",Bise Bahawalpur,67,Percentage,2010,1,,
38,Electrical Engineering,Plasmonics,Sarhad University Peshawar,3.42,GPA,2023,0,,
38,Electrical Engineering,Communication and Electronics,University of Engineering and Technology,3.49,GPA,2015,0,,
38,Electrical Engineering,Communication,University of Engineering and Technology,2.35,GPA,2010,0,,
38,Pre-Engineering,Pre-Engineering,Bisep,64,Percentage,2005,1,,
38,Science,Science,Fbise,64,Percentage,2003,1,,
39,Advanced System Engineering,Informatics,Free University Of Bolzano Italy,100,Percentage,2025,0,,
39,Electronincs and Communication,Machine Learning,Chongqing University,86,Percentage,2020,0,,
39,Electrical (Telecom) Engineering,Telecommunication,COMSATS University,79.23,Percentage,2016,0,,
39,FSc,Pre Engineering,Superior College,74,Percentage,2011,1,,
39,Matric,Science group,Faisalabad,83.6,Percentage,2009,1,,
40,PhD,Electronics and Communication Engineering,Hanyang University,4,GPA,2018,0,,
40,MS,Electrical Engineering,University Of Management And Technology Lahore,4,GPA,2011,0,,
40,BS,Electrical Engineering,University Of Engineering And Technology Lahore,68.75,Percentage,2007,0,,
40,FSc,Pre Engineering,Bise Bwp,82.54,Percentage,2001,1,,
40,Matric,Science,Bise Bwp,83.88,Percentage,2000,1,,
42,Electrical-Electronics Engineering,Wireless Communication Technologies and Cyber Systems and Cyber Security,Istanbul Medipol University,3.29,CGPA,2025,0,,
42,Electrical Engineering,Machine Learning,National University of Computer and Emerging Sciences,3.53,CGPA,2019,0,,
42,Electrical Engineering,Communications,National University of Computer and Emerging Sciences,2.71,CGPA,2016,0,,
42,Intermediate,Pre-Engineering,Peshawar Board,74.8,Percentage,2012,1,,
42,O-level,Science,"University Of Cambridge, Uk",68.78,Percentage,2009,1,,
43,PhD in Electronic and Electrical Engineering,Intelligent Systems and Control,"Kyungpook National University, Daegu",3.8,GPA,2026,0,,
43,MS in Electronic Engineering,Communications and Networks,"International Islamic University, Islamabad",3.35,GPA,2016,0,,
43,Computer Systems Engineering,Security system,"Bahauddin Zakariya University, Multan",2.53,GPA,2011,0,,
43,Fsc in Pre-Engineering,Pre-Engineering,Bise Multan,61,Percentage,2006,1,,
43,Matriculation,Science group,Bise Multan,60,Percentage,2004,1,,
