candidate_id,job_title,organization,location,start_date,end_date,is_current,job_description,industry,duration_months
20,Network Engineer,Bank of Azad Jammu & Kashmir,Muzaffarabad,9/1/2013,3/1/2014 0:00,0,,Banking,6
20,Support Engineer,Higher Education Commission,Islamabad,9/1/2009,9/1/2013 0:00,0,,Government,48
21,Assistant Professor,National University of Computer and Emerging Sciences - FAST,Peshawar,10/1/2021,Present,1,Assistant Professor,Academia,
21,Lab Engineer,FAST - National University of Computer and Emerging Sciences,FAST - Peshawar campus,10/1/2009,9/1/2021 0:00,0,Lab Engineer,Academia,143
22,Assistant Professor,Barani Institute of Management Sciences-PMAS,Rawalpindi,9/1/2024,Present,1,,,
22,Research Assistant,Air University,Islamabad,8/1/2015,8/1/2023 0:00,0,,,
22,Lab Engineer,National University f Modern Languages,Islamabad,9/1/2011,7/1/2015 0:00,0,,,
22,Trainee Engineer,National Highway Authority,Islamabad,12/1/2009,8/1/2010 0:00,0,,,
23,Assistant Professor (Visiting),"Swedish college of engineering and technology, wah",Wah,9/1/2023,12/1/2024 0:00,0,,Academia,
23,Lecturer,"Pakistan Nave Engineering College, Karachi",Karachi,8/1/2002,9/1/2004 0:00,0,,Academia,
23,Lecturer,"NFCIET, Multan",Multan,10/1/2004,7/1/2007 0:00,0,,Academia,
23,Assistant Professor,"Riphah International University, islamabad",Islamabad,7/1/2007,9/1/2022 0:00,0,,Academia,
24,Visiting Faculty,Dawood University Of Engineering & Technology,Karachi,1/9/2025,Present,1,Visiting Faculty,Academic,
25,PostDoc Researcher,Eratosthenes Centre of Excellence,Cyprus,9/1/2024,Present,1,,Research,
25,PostDoc Researcher,University of Parthenope Naples,Italy,12/1/2023,Present,1,,Research,
25,Visiting Researcher,University of Siegen,Siegen Germany,1/1/2023,7/1/2023 0:00,0,,Research,6
25,Software Test,CIENET Technologies,Nanjing china,7/1/2019,12/1/2019 0:00,0,,Technology,5
25,Lab Engineer,"Bahauddin Zakariya University, Multan",Multan,2/1/2017,9/1/2017 0:00,0,Electrical Engineering,Education,7
25,Scientific Researcher,National University of Science and Technology POLITEHNICA Bucharest,Romania,1/1/2021,1/1/2024 0:00,0,,Research,36
26,Research Associate,NUST,Islamabad,7/1/2018,4/1/2022 0:00,0,,,
26,Assistant Professor,CUST,Islamabad,4/1/2022,7/1/2023 0:00,0,,,
26,Assistant Professor,GIK Institute,Topi,7/1/2023,Present,1,,,
27,Assistant Professor,FAST NUCES,Faisalabad,1/1/2025,Present,1,,,
27,Research Fellow,Sejong University,South Korea,9/1/2020,2/1/2024 0:00,0,,,
27,Research fellow,Hongik University,South Korea,9/1/2018,7/1/2020 0:00,0,,,
27,Lab Engineer,Comsats University Islamabad,Attock,2/1/2016,9/1/2018 0:00,0,,,
28,Teacher Assistant,Universiti tun Hussein onn Malaysia,Malaysia,2/1/2024,1/1/2025 0:00,0,,,
28,Graduate Research Assistance,FKEE UTHM Malaysia,UTHM Malaysia,6/1/2022,9/1/2023 0:00,0,,,
29,Assistant Professor,Air University,Islamabad,1/1/2024,Present,1,,,
29,Instructor,Samsung Innovation Center,Islamabad,9/1/2024,Present,1,,,
29,Research Assistant,NUST CEME,Rawalpindi,1/1/2021,10/1/2022 0:00,0,,,
29,Assistant Manager,SUPARCO,Islamabad,9/1/2006,1/1/2009 0:00,0,,,
30,Research Student,University of Liverpool,"Liverpool, UK",5/1/2008,9/1/2008 0:00,0,,,4
30,Research Assistant,Victoria University of Wellington,New Zealand,8/1/2009,7/1/2013 0:00,0,,,47
30,Lecturer,Riphah International University,Islamabad,2/1/2014,3/1/2016 0:00,0,,,25
30,Lecturer,University of Lahore,Islamabad,4/1/2016,8/1/2017 0:00,0,,,16
30,Visiting Faculty Member,CISCOM,Rawalpindi,2/1/2022,3/1/2023 0:00,0,,,13
30,General Manager / Principal Machine Learning Engineer,WUWI Inc,California / Beijing,3/1/2023,3/1/2024 0:00,0,,,12
30,Assistant Professor,Cholistan University of Veterinary and Animal Sciences,Bahawalpur,3/1/2024,Present,1,,,
31,Lecturer (Computer Science),University of management and technology,Lahore,2/1/2024,9/1/2024 0:00,0,,Academic,7
31,Senior Lab Instructor,Lahore University of Management Science,Lahore,9/1/2024,Present,1,,Academic,
32,Researcher,NCAI,Peshawar,1/1/2022,8/1/2022 0:00,0,,Research,
32,Researcher,Qatar University,Qatar,9/1/2022,6/1/2025 0:00,0,,Research,
32,Researcher,UET Peshawar,Peshawar,3/1/2021,12/1/2021 0:00,0,,Research,
32,Assistant Professor,Iqra National University,Peshawar,2/1/2008,6/1/2014 0:00,0,,Academia,
32,Assistant Divisional Engineer,PTCL,Peshawar,7/1/2004,2/1/2008 0:00,0,,Telecommunications,
32,Junior Engineer,NTDC (Wapda),Peshawar,6/1/2002,6/1/2004 0:00,0,,Power,
33,Lecturer,University of Gujrat,Gujrat,3/1/2022,Present,1,,Academia,
35,Post-Doctoral Fellow,Inha University,"Incheon, South Korea",9/1/2023,10/1/2025 0:00,0,,Academic,
35,Postdoctoral Researcher,Kunsan National University,"Gunsan, South Korea",1/1/2023,6/1/2023 0:00,0,,Academic,
35,Workshop Instructor,Federal Urdu University of Arts Science and Technology,"Islamabad, Pakistan",2/1/2016,8/1/2017 0:00,0,,Academic,
36,Lecturer Physics,"Mashal Degree College, University of Wah",Wah Cantt,1/1/2015,3/1/2015 0:00,0,Lecturer Physics,Education,2
36,Internee,Wah Nobel Group of Companies,Wah Cantt,7/1/2015,1/1/2016 0:00,0,Internee,Manufacturing,6
36,Lab Engineer,"COMSATS University Islamabad, Wah Campus",Wah Cantt,1/1/2016,10/1/2017 0:00,0,Lab Engineer,Education,21
36,Internee,Sorbonne University,"Paris, France",4/1/2018,10/1/2018 0:00,0,Internee,Education,6
36,Assistant Professor,"NUST Chip Design Centre, NUST",Islamabad,5/1/2024,Present,1,Assistant Professor,Education,
37,Visting Lecturer,KFUEIT RYK,RYK,2/1/2021,5/1/2025 0:00,0,,,
38,Senior TV Engineer,Pakistan Television,Peshawar,1/1/2013,Present,1,,,
39,POSTDOCTORAL Researcher,Free University of Bolzano,Italy,1/1/2025,Present,1,,,
40,Associate Professor,University of Engineering and Technology Lahore (Narowal Campus),Narowal,4/1/2021,Present,1,,Academic,
40,Assistant Professor,Khwaja Fareed University of Engineering and IT,Rahim Yar Khan,1/1/2018,4/1/2021 0:00,0,,Academic,
40,PhD Candidate,"Hanyang University, South Korea",Ansan,9/1/2014,2/1/2018 0:00,0,,Academic,
40,Assistant Professor,University of Management and Technology Lahore,Lahore,10/1/2009,2/1/2014 0:00,0,,Academic,
40,Technical Expert,Alcatel-Lucent,Lahore,4/1/2008,6/1/2009 0:00,0,,Telecom,
42,RESEARCH ASSISTANT,"Communication, Signal Processing, and Networking Center (CoSiNC), Istanbul Medipol University",Beykoz,1/2/2020,Present,1,"Research in Communication, Signal Processing, and Networking.",Academia/Research,
43,Assistant Lecturer,"Times University, Multan",MULTAN,9/1/2014,3/1/2015 0:00,0,,,7
43,System Support Engineer,"University of Central Punjab, Lahore",Lahore,11/1/2015,4/1/2016 0:00,0,,,6
43,Assistant Network Administrator,NFC (Institute of Engineering and Technology),MULTAN,5/1/2016,2/1/2020 0:00,0,,,46
