candidate_id,title,venue_name,output_type,publication_year,impact_factor,author_names,research_topics/0,research_topics/1,research_topics/2
5,Cuda-optimized gpu acceleration of 3gpp 3d channel model simulations for 5g network planning,Electronics,Journal,2023,2.6,"Nasir Ali Shah, Mihai T Lazarescu, Roberto Quasso, Luciano Lavagno",,,
5,FPGA acceleration of 3GPP channel model emulator for 5G new radio,IEEE Access,Journal,2022,3.6,"Nasir Ali Shah, Mihai T Lazarescu, Roberto Quasso, Salvatore Scarpina, Luciano Lavagno",,,
6,Machine Learning and Multivariate Analysis of Depression Prevalence and Predictors in Acute Coronary Syndrome,IEEE Access,Journal,2025,3.6,Etizaz Ahsan Shah; Syeda Javeria Ahsan; Muhammad Farrukh Qureshi; Sohail Khalid; Rahmat Ullah; Mujeeb Ur Rehman,,,
6,Automated lumpy skin grading in bovine images using novel deep convolutional neural networks,Multimedia Tools and Applications,Journal,2025,3.6,"Abdul Malik Muhammad, Muhammad Zia ur Rehman, Zohaib Mushtaq, Muhammad Farrukh Qureshi",,,
7,Incorporation of carbon nanotubes in photoactive layer of organic solar cells,Ain Shams Engineering Journal,Journal,2020,1.95,"Danish Khan, Zahid Ali, Idris Khan, Danyal Asif, Manoj Kumar Panjwani",,,
7,Effect of Solar Concentrators on the Efficiency of Solar Panels,International Conference on,Conference,2018,0,"Manoj Kumar Panjwani, Li Meicheng, Danish Khan, Idris Khan, Mohan Menghwar",,,
7,A study of product distribution under fast pyrolysis of wheat stalk while producing Bio-oil,International Conference on Computing,Conference,2018,0,"Tahir Iqbal, Qiang Lu, Chang-qing Dong, Min-xing Zhou, Zulqarnain Arain, Zulfiqar Ali, Idris Khan, Zafar Hussain, Adnan Abbas",,,
7,A review on the challenges and possibilities of using CNTs in organic solar cells,Science of Advanced Materials,Journal,2018,1.32,"Danish Khan, ZhanAoTan, Idris Khan, Manoj Kumar Panjwani",,,
7,Sketching Pakistan's energy dynamics: Prospects of biomass energy,JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY,Journal,2018,1.34,"Tahir Iqbal, Chang-qing Dong, Qiang Lu, Zulfiqar Ali, Idris Khan, Zafar Hussain, Adnan Abbas",,,
7,Photovoltaic Power Forecasting based on Elman Neural Network,8th IEEE International Conference,Conference,2017,0,"Idris Khan, Honglu Zhu, Jianxi Yao, Danish Khan",,,
7,Photovoltaic Power prediction by Cascade forward artificial neural network,7th international conference on,Conference,2017,0,"Idris Khan, Honglu Zhu, Danish Khan, Manoj Kumar Panjwani",,,
7,Hybrid Power Forecasting Model for Photovoltaic Plants Based on Neural Network and Air Quality Index,International Journal of Photoenergy,Journal,2017,1.55,"Idris Khan, Honglu Zhu, Jianxi Yao, Danish Khan, Tahir Iqbal",,,
7,Preparation and breakdown properties of mineral oil based alumina nanofluids,International conference on Emerging,Conference,2015,0,"Muhammad Rafiq, Chengrong Li, Idris Khan, Hu Zhifeng, Yuzhen Lv, Kai Yi",,,
7,Comparison of transmission losses and voltage drops of GIL(Gas Insulated transmission line) and overhead transmission lines,Power Electronics and Motion Control,Conference,2014,0,"Danish Khan, Muhammad Rafiq, Syed Furqan Rafique, Idris Khan, Farukh Abbas",,,
8,Reconfigurable Intelligent Surfaces Assisted NLOS Radar Anti Jamming Using Deep Reinforcement Learning,JOURNAL,Journal,2024,2,"MUHAMMAD MAJID AZIZ, A Habib, A Zafar",,,
8,Anti-jamming radar waveform design for repeater jammer using reinforcement learning,JOURNAL,Journal,2024,5.8,"MUHAMMAD MAJID AZIZ, A Habib, ARM Maud, A Zafar, SA Irtaza",,,
8,Reinforcement learning based techniques for radar anti-jamming,Conference,Conference,2021,,"muhammad majid aziz, ARM Maud, A Habib",,,
9,Economic analysis of a small hybrid power system,Power Generation System and Re,Journal,2015,0,"Muhammad Sarmad Tariq, Arsham Iqbal, Ibrahim F Muhammad, Muhammad Faraz, Muhammad S Tariq, Hasan-ul Banna",,,
9,"Impact of module and inverter failures on the performance of central-, string-, and micro-inverter PV systems",Microelectronics Reliability,Journal,2018,1.96,"Muhammad Sarmad Tariq, Muhammad S Tariq, Saad A Butt, Hassan A Khan",,,
9,Harmonic analysis of grid-connected solar PV systems with nonlinear household loads in low-voltage distribution networks,Sustainability,Journal,2021,3.3,"Muhammad Sarmad Tariq, Syed Muhammad Ahsan, Hassan Abbas Khan, Akhtar Hussain, Sarmad Tariq, Nauman Ahmad Zaffar",,,
9,Optimal power flow and contingency analysis incorporating distributed facts and dynamic thermal line rating,North American Power Symposium,Conference,2021,0,Muhammad Sarmad Tariq,,,
9,A Unified Power Flow Controller (UPFC) Based Optimal Power Flow Methodology for Balancing Electric Grid Line-Loading,IEEE Industry Applications Soc,Conference,2024,0,Muhammad Sarmad Tariq,,,
9,Optimal Location Methodology for Multiple UPFCs to Reduce Transmission Congestion,SoutheastCon,Conference,2025,0,Muhammad Sarmad Tariq,,,
9,Optimal Power Flow Methodology with UPFC and Synchronous generator for Optimal Power Flow Management,SoutheastCon,Conference,2025,0,Muhammad Sarmad Tariq,,,
11,Multiple Batches of Motion History Images (MB-MHIs) for Multi-view Human Action Recognition,Arabian Journal for Science and Engineering,Journal,2020,1.52,"Hajra Binte Naeem, Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A Velastin",,,
11,TAB: Temporally aggregated bag-of-discriminant-words for temporal action proposals,Computer Vision and Image Understanding,Journal,2019,2.65,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,
12,Spectral Restoration based speech enhancement for robust speaker identification,Journals,Journal,2017,3.4,"tayyaba gul tareen, N Saleem",,,
12,Shunt-Active-Power-Filter-A-Review,journal,Journal,2024,5.6,"tayyaba gul tareen, Wajahat Ullah Khan Tareen, Muhammad Aamir, Jehanzeb Khan and Naveed Jan",,,
12,Free-Space Optical channel turbulence analysis based on lognormal distribution and stochastic differential equation,journal,Journal,2018,3.01,"tayyaba gul tareen, Shahryar Shafique, Mehr-e-Munir",,,
12,Measuring the Performance of Handover Mechanisms in UMTS for Diverse Traffic Services Classes to Improve QoS,journal,Journal,2011,6,"Tayyaba Tareen, Sher Ali, Nasir Saleem",,,
12,Design of a Multi-Mode Power Management System for Electric Vehicles with Grid Integration,journal,Journal,2024,5.6,"Tayyaba Gul Tareen, Muhammad Aamir, Jehanzeb Khan, Ghassan Husnain, Fakhar Anjam",,,
13,A gene selection algorithm for microarray cancer classification using an improved particle swarm optimization,Scientific Reports,Journal,2024,3.8,"Muhammad Abubakar, Arfan Ali Nagra, Ali Haider Khan, Muhammad Faheem, Adil Rasool, Khalid Masood & Muzammil Hussain",,,
13,High-Precision Identification of Power Quality Disturbances Based on Discrete Orthogonal S-Transforms and Compressed Neural Network Methods,IEEE Access,Journal,2023,3.6,"MUHAMMAD ARFAN ALI NAGRA, MUHAMMAD ABUBAKAR, FAHEEM, MUHAMMAD MUDASSAR, AND MUHAMMAD SOHAIL",,,
14,"Catalytically Active Bimetallic Nickelâ€“Cobalt MOF Linked Via Pyridine 2, 6- Dicarboxylate for Electrochemical Water Splitting Applications",Arab Journal of Science & Engineering,Journal,2024,2.9,"Zahid, R Abdul Karim, M.R., Khan, F.S.",,,
15,Preparation of dual mode spectroscopic system for testing: Analysis of sample holder and investigation of intensity noise,Heliyon,Journal,2025,3.9,"Usman Masud, Walaa Alayed, Momna Ikram",,,
15,Sensitivity evaluation of Brownian motion and chemical reaction parameter on transport of motile gyrotactic microorganism in nanofluid over a wedge,ZAMM - Journal of Applied Mathematics,Journal,2024,2.3,"Usman Masud, Dilawar Hussain, Zaheer Asghar, Ahmed Zeeshan",,,
15,A Novel Deep Learning Framework With Meta-Heuristic Feature Selection for Enhanced Remote Sensing Image Classification,IEEE Access,Journal,2024,4,"Usman Masud, Bilal Ahmed, Tallha Akram, Syed Rameez Naqvi, Anas Alsuhaibani, Youssef N. Altherwy",,,
16,Please see google scholar profile,Google Scholar,Unknown,2025,,Muhammad Ehatisham,,,
17,A Novel Method of Transformer Overloading on Detection by Magnetic Flux Leakage Measurements,IEEE Transactions Instrumentation,Journal,2025,5.6,"Waqas Amin, Arsalan Habib Khawaja, Wajiha, Ateeq, Dongsheng Cai, Qi Huang",,,
18,Techno-Economic Analysis of H. Chowdhury Visible Light Communications,IEEE International Symposium on Wir,Conference,2013,1.5,"H. Chowdhury, H. Bagheri, M. Ikram Ashraf, S. Tamoor-ul-Hassan, Marcos Katz",,,
18,Device-to-device assisted mobile cloud framework for 5G networks,IEEE 14th International Conference,Conference,2016,0.91,"Muhammad Ikram Ashraf, Syed Tamoor-ul-Hassan, Shahid Mumtaz, Kim Fung Tsang, Jonathan Rodriquez",,,
18,Latency-Aware Radio Resource Optimization in Learning-Based Cloud-Aided Small Cell Wireless Networks,IEEE Transactions on Green Computing,Journal,2023,5.3,"S. Tamoor-ul-Hassan, S. Samarakoon, M. Bennis, M. Latva-aho",,,
18,Learning-based Caching in Cloud-Aided Wireless Networks,IEEE Communication Letters,Journal,2017,3.7,"S. Tamoor-ul-Hassan, S. Samarakoon, M. Bennis, M. Latva-aho, C.S. Hong",,,
18,Caching in Wireless Small Cell Networks: A Storage-Bandwidth Tradeoff,IEEE Communication Letters,Journal,2016,3.7,"S. Tamoor-ul-Hassan, M. Bennis, P. H. J. Nardelli, M. Latva-aho",,,
18,Modeling and Analysis of Content Caching in Wireless Small Cell Networks,IEEE International Symposium on Wir,Conference,2015,1.5,"S. Tamoor-ul-Hassan, M. Bennis, P. H. J. Nardelli, M. Latva-aho",,,
18,Mobile Cloud based architecture for Device-to-Device Communication Underlying Cellular Network,IEEE IFIP Wireless Days,Conference,2013,1.37,"S. Tamoor-ul-Hassan, M. Ikram Ashraf, Marcos D. Katz",,,
19,A hybrid metaheuristic approach for the solution of renewables-incorporated economic dispatch problems,Journal,Journal,2020,3.75,"Manzoor Ellahi, G. Abbas",Renewable Energy,Economic Dispatch,
20,Enabling PUF-based Authentication in QKD Networks,International Conference,Conference,2025,0,"S. Tahir, S. Civelli, M. Ferrari, L. PotÃ¬, E. Paolini, P. Nadimi Goki, M. Brunero, A. Gatto, N. Andriolli, A. Giorgetti",,,
20,A Blocking Probability Study for the Aethereal Network-on-Chip,International Conference,Conference,2016,0,"S. Tahir, G. Marchetto, M. Grosso",,,
20,Merit of hybrid EDFA/Raman amplification in fixed-grid all-optical network exploiting multi-rate transponders,International Journal of Communication Systems (IJCS),Journal,2018,1.88,"S. Tahir, A. Ahmad, A. Bianco, H. Chouman, D. DeTommaso, G. Marchetto, V. Curri",,,
20,Raman Pumping as an Energy Efficient Solution for NyWDM Flexible-grid Elastic Optical Networks,International Journal of Electrical,Journal,2017,0,"S. Tahir, A. Ahmad, A. Bianco, V. Curri, G. Marchetto",,,
20,Impact of Fiber Type and Raman Pumping in NyWDM Flexible-grid Elastic Optical Networks,IEEE International Conference on Transparent Optical Networks (ICTON 2016),Conference,2016,0,"S. Tahir, A. Ahmad, A. Bianco, H. Chouman, V. Curri, G. Marchetto",,,
21,Multiple contaminant biosignal quality analysis for electrocardiography,Biomedical Signal Processing and Control,Journal,2022,4.9,"M. U. Abbasi, A. Rashad, G. Srivastava, and M. Tariq",,,
21,Improved and secured electromyography in the Internet of health things,IEEE Journal of Biomedical and Health Informatics,Journal,2021,6.7,"M. U. Abbasi, M. Kamal, and M. Tariq",,,
21,Detection of epilepsy seizures in neo-natal EEG using LSTM architecture,IEEE Access,Journal,2019,3.6,"M. U. Abbasi, A. Rashad, A. Basalamah, and M. Tariq",,,
22,Accuracy Improvement of Non-Intrusive Load Monitoring Using Voting-Based Consensus Clustering,IEEE Access,Journal,2023,3.36,"Muzzamil Ghaffar, Shakil Rehman Sheikh, Noman Naseer, Syed Ali Usama, Bashir Salah, Soliman Alkhatib",,,
22,Reducing the Environmental Impact of School Buildings Through Better Design: A Case Study in Pakistan,European Conference on Sustainability,Conference,2018,,"Muzzamil Ghaffar, Shakil Rehman Sheikh, Nouman Ghafoor, Atiq ur Rehman",,,
22,Mitigating CO2 emissions of academic buildings in Pakistan using energy conservation techniques,JOURNAL OF ENGINEERING AND APPLIED,Journal,2019,,"Muzzamil Ghaffar, Shakil Rehman Sheikh, Zafar Ullah Koreshi, Nouman Ghafoor, Muhammad Shahid Khalil",,,
22,Electrical energy management of building using fuzzy control,International Conference on Ro,Conference,2019,,"Muzzamil Ghaffar, Noman Naseer, Shakil R Sheikh, Muhammad Naved, Umair Aziz, Zafar Ullah Koreshi",,,
22,Assistive Smart Home Environment using Head Gestures and EEG Eye Blink Control Schemes,International Conference on Ar,Conference,2021,,"Muzzamil Ghaffar, Shakil R Sheikh, Noman Naseer, Fraz Ahmed",,,
22,Non-intrusive load monitoring of buildings using spectral clustering,Sensors,Journal,2022,3.84,"Muzzamil Ghaffar, Shakil R Sheikh, Noman Naseer, Zia Mohy Ud Din, Hafiz Zia Ur Rehman, Muhammad Naved",,,
23,Performance evaluation of Long Term Evaluation Mobile Broadband Standardâ€™s Physical Layer,New Horizons,Journal,2011,0,"Engr. Qaiser Hussain, Engr. Gulistan Raja",,,
23,Full Duplex Relaying in Non Orthogonal Multiple Access System with Advanced Successive Interference Cancellation,Radioengineering Journal,Journal,2020,1.1,"Q. Hussain, S. Sohaib",,,
23,Performance Analysis of Hybrid Half and Full Duplex User Relaying Non Orthogonal Multiple Access System with Advanced Successive Interference Cancellation,Telecommunication Systems Journal,Journal,2023,2.34,"Hussain, Qaiser",,,
23,On the Capacity Analysis Performance of ASIC Based Hybrid Full and Half Duplex User Relaying Cooperative NOMA System,Wireless Personal Communication Journal,Journal,2023,2.21,"Hussain, Qaisar",,,
24,Graphene as a Phase Shifter Element for Reflectarray Beam-Steering at THz Frequencies,Progress In Electromagnetics Research,Journal,2025,0,"SA Qureshi, Muhammad Ramlee Kamarudin, Yoshihide Yamada, Muhammad Inam Abbasi, Muhammad Hashim Dahri, Zuhairiah Zainal Abidin, Nordin Ramli",THz,Reflectarray,Graphene
24,Planar edged UWB antenna for water quality measurement,Progress In Electromagnetics Research,Journal,2023,0,"Joseph Charles Vinoth, Subramaniam Ramesh, Zuhairiah Z Abidin, Suhail A Qureshi, Sivathanu Chitra, Elumalai Saranya",UWB Antenna,,
24,Early Detection and Quantitative Analysis of Skin Cancer Using THz Metamaterial Biosensor,International Journal of Integrated,Journal,2024,1,"SA Qureshi, ZZ Abidin, MR Kamarudin, NB Ghazali",THz,Biosensor,Skin Cancer
24,The 6G Reconfigurable Reflectarray Antenna Using a Gold-VO-2 Bilayer Structure,Progress In Electromagnetics Research,Journal,2024,1,"SA Qureshi, MR Kamarudin, MI Abbasi, Y Yamada, MH Dahri, ZZ Abidin",6G,Reflectarray,
24,Millimetreâ€wave metamaterialâ€based sensor for characterisation of cooking oils,International Journal of Antennas,Journal,2021,1.2,"SA Qureshi, Z Zainal Abidin, AY Isa Ashyap, HA Majid, MR Kamarudin",Metamaterial,Sensor,
24,Double-Layered metamaterial resonator operating at millimetre wave for detection of dengue virus,AEU-International Journal of Electr,Journal,2022,3.2,"SA Qureshi, ZZ Abidin, HA Majid, AYI Ashyap, CH See",Metamaterial,Dengue Detection,
24,Glucose level detection using millimetre-wave metamaterial-inspired resonator,Plos one,Journal,2022,2.6,"SA Qureshi, ZZ Abidin, NIM Elamin, H A. Majid, AYI Ashyap, J Nebhen",Glucose Detection,Metamaterial,
24,Reflectarray 2D Beam-Steering With Graphene on Copper Elements for 6G Point-to-Point Communication,IEEE Open Journal of Antennas and Propagation,Journal,2024,3.6,"SA Qureshi, MR Kamarudin, Y Yamada, MI Abbasi, MH Dahri, ZZ Abidin",6G,Reflectarray,
25,Coastline Extraction From SAR Data Using Doppler Centroid Images,IEEE Geoscience and Remote Sensing,Journal,2022,5,"Muhammad Amjad Iqbal, Andrei Anghel, Mihai Datcu",SAR,Doppler Centroid,
26,Enhancing Backscatter Wireless-Powered Communication in IoT Networks with Power-Domain NOMA,Wireless-Powered Backscatter Commun,Journal,2024,0,"Shah Zeb, Qamar Abbas, Syed Ali Hassan, Aamir Mahmood, Mikael Gidlund",,,
26,NOMA enhanced backscatter communication for green IoT networks,16th International Symposium,Conference,2019,0,"Shah Zeb, Qamar Abbas, Syed Ali Hassan, Aamir Mahmood, Rafia Mumtaz, SM Hassan Zaidi, Mikael Gidlund",,,
26,Joint Optimization of Age of Information and Energy Efficiency in IoT Networks,91st Vehicular Technology Conf,Conference,2020,0,"Qamar Abbas, Shah Zeb, Syed Ali Hassan, Rafia Mumtaz, Syed Ali Raza Zaidi",,,
26,Age of Information in Wireless-Powered Backscatter Communication,Wireless-Powered Backscatter Commun,Journal,2020,0,"Qamar Abbas, Shah Zeb, Syed Ali Hassan",,,
26,A Markovian Model for the Analysis of Age of Information in IoT Networks,IEEE Wireless Communications Letter,Journal,2021,6.3,"Qamar Abbas, Syed Ali Hassan, Haris Pervaiz, Qiang Ni",,,
26,A comprehensive survey on age of information in massive IoT networks,Computer Communications,Journal,2023,6,"Qamar Abbas, Syed Ali Hassan, Hassaan Khaliq Qureshi, Kapal Dev, Haejoon Jung",,,
26,On minimizing the age of information in NOMA-based vehicular networks using Markov decision process,IEEE Transactions on Intelligent Tr,Journal,2022,9.6,"Qamar Abbas, Syed Ali Hassan, Haejoon Jung, M Shamim Hossain",,,
27,Flexible IoT Datapath Programming using P4,International Conference on Green,Conference,2019,,Shahzad Eun Sung Jung,IoT,,
27,Enhanced Explicit Congestion Notication (EECN) in TCP with P4 Programming,International Conference on Green,Conference,2020,,"Shahzad Eun-Sung Jung, J. Chung and R. Kettimuthu",TCP,,
27,FLIP: Flexible IoT Path programming for Large-scale IoT,20th IEEE/ACM International Symposium,Conference,2020,,Shahzad Eun Sung Jung,IoT,,
27,Big Data Merging and Deep Learning Model Optimization for Improving Weather Information Forecasting Performance,Journal of the Institute of Electronics,Journal,2021,,"Kyung Kyu Ko Shahzad, Eun Sung Jung",Big Data,Deep Learning,
27,Reinforcement Learning-Aided Edge Intelligence Framework for Delay-Sensitive Industrial Applications,Sensors,Journal,2022,3.4,"M Zubair Islam Shahzad, Rashid Ali, Amir Haider, Hyung Seok Kim",Reinforcement Learning,,
27,IoTactileSim: A Virtual Testbed for Tactile Industrial Internet of Things Services,Sensors,Journal,2021,3.4,"M Zubair Islam Shahzad, Rashid Ali, Amir Haider, Hyung Seok Kim",IoT,,
27,Learning-Based Adaptive Sliding-Window RLNC for High Bandwidth-Delay Product Networks,IEEE Access,Journal,2023,3.4,"Shahzad Rashid Ali, Amir Haider, Hyung Seok Kim",,,
27,RLECN: A Reinforcement Learning Based Dynamic ECN Threshold Setting Mechanism,ICT Express,Journal,2023,4.1,"Shahzad Eun Sung Jung, Hyung Seok Kim",Reinforcement Learning,,
27,RS-RLNC: A Reinforcement Learning Based Selective Random Linear Network Coding Framework For Tactile Internet,IEEE Access,Journal,2023,3.4,"Shahzad Rashid Ali, Amir Haider, Hyung Seok Kim",Reinforcement Learning,,
28,Comparative analysis of mathematical and simulation models for electric field generated beneath 400 kV overhead transmission lines,Measurement Part E,Journal,2025,5.6,"Matiullah Ahsan, Md Nor Ramdon Baharom, Ihsan Ullah Khalil, Zainab Zainal",,,
28,Deep learning based vision transformer approach for detecting overlapping PV faults using multi labeling,Measurement Part E,Journal,2025,5.6,"Umais Khan, Sarim Farqaleet Khan, Ihsan Ullah Khalil, Matiullah Ahsan",,,
28,Simulation-based analysis of electric field characteristics under high-voltage double-circuit and quadrupole overhead transmission lines,Journal of Electrostatics,Journal,2025,1.9,"Matiullah Ahsan, Md Nor Ramdon Baharom, Ihsan Ullah Khalil, Zainab Zanial",,,
28,Analysis of high-ampacity and low-sag conductors of 275 kV overhead transmission lines using reconductoring technique,Electric Power Systems Research,Journal,2025,3.9,"Matiullah Ahsan, Md Nor Bahrom, Ihsan Ullah Khalil, Zainab Zainal",,,
28,Influence of Oxygen on Dielectric Properties of HFO1336Mzz(E)/CO2 Gas Mixture,Innovations in Power and Advanced,Unknown,2023,0,"Rizwan Ahmed, Rahisham Abd Rahman, Muhammad Saufi bin Kamarudin, MD Nor Ramdon bin Baharom, Amir Izzani bin Mohamed, Mati Ullah Ahsan",,,
28,Parameters design optimization of grading ring based on electric field analysis through response surface methodology,Journal,Journal,2024,0,"Matiullah Ahsan, Md Nor Ramdon bin Baharom, Zainab binti Zainal, Ihsan Ullah Khalil",,,
28,"Solar PV adoption for homes (A case of Peshawar, Pakistan)",Conference,Conference,2017,0,"IU Khalil, Abraiz Khattak, Mati Ullah Ahsan",,,
28,SOC prediction of Lithium-Ion Battery using Extended Kalman Filter,International/conference,Conference,2019,0,I.U Khalil; Matiullah Ahsan; Irshad Ullah; Arbab Adnan; Naveed Khan; Shah Nawaz,,,
28,Unified Fuzzy Logic Based Approach for Detection and Classification of PV Faults Using I-V Trend Line,Journal,Journal,2022,3,"Imran Hussain,Ihsan Ullah Khalil,Aqsa Isla,Matiullah Ahsan",,,
28,Comparative Analysis of Photovoltaic Faults and Performance Evaluation of its Detection Techniques,Journal,Journal,2020,3.4,Ihsan Ullah Khalil; Azhar Ul-Haq; Yousef Mahmoud; Marium Jalal; Muhammad Aamir; Mati Ullah Ahsan,,,
28,Measuring and simulation of magnetic field generated by high voltage overhead transmission lines,Journal,Journal,2024,6,"Matiullah Ahsan, Md Nor Ramdon Baharom, Zainab Zainal, Ihsan Ullah Khalil",,,
28,Improving electric field stress using grading ring devices for insulated cross-arm,Journal,Journal,2024,6,"Matiullah Ahsan, Md Nor Ramdon Baharom, Zainab Zainal, Ihsan Ullah Khalil, Norain Sahari, Enas Ali, Ramy NR Ghaly",,,
28,Simulation based comparative analysis of electric field stress on insulated cross-arm,Journal,Journal,2024,6,"Matiullah Ahsan, Md Nor Ramdon Baharom, Zainab Zainal, Ihsan Ullah Khalil",,,
28,Historical Review of Advancements in Insulated Cross-Arm Technology,"Energies,MDPI",Journal,2022,3,"Matiullah Ahsan, Md Nor Ramdon Bin Baharom, Zainab Zainal, Luqman Hakim Mahmod, Irshad Ullah, Mohd Fairouz Mohd Yousof, Nor Akmal Mohd Jamail, Muhammad Saufi Kamarudin, Rahisham Abd Rahman",,,
29,A Hybrid Spatial and Temporal Attention Driven Network for Left Ventricular Function Assessment Using Echocardiography,Journal,Journal,2025,3.9,"Samana Batool, Mubeen Ghafoor, Imtiaz Ahmed Taj, Wadood Abdul",,,
29,EFNet: A Multitask Deep Learning Network for Simultaneous Quantification of Left Ventricle Structure and Function,Physica Medica,Journal,2024,3.3,"Samana Batool, Imtiaz Ahmad Taj, Mubeen Ghafoor",,,
29,Ejection Fraction Estimation from Echocardiograms Using Optimal Left Ventricle Feature Extraction Based on Clinical Methods,Diagnostics,Journal,2023,3,"Samana Batool, Imtiaz Ahmad Taj, Mubeen Ghafoor",,,
30,Information theory based redundancy and independent component analysis,Proceedings of the IC,Conference,2008,1,"A. Masood, A K Nandi",,,
30,Cochlear Microphonic Data Acquisition System,IEEE Instrumentation and Measurement,Journal,2024,1,"A. Masood, P. Teal, C. Hollitt and R. Dykstra",,,
30,Independent Component Analysis based speech separation using geometric kth nearest neighbor entropy estimator,IEEE 5th International Conference,Conference,2020,1.5,"A. Masood, Z. Ye",,,
30,Independent Vector Analysis based Convolutive Speech Separation by Estimating Entropy using Recursive Copula Splitting,15th IEEE International Conference,Conference,2020,1.5,"A. Masood, R. Tong, M. Shakeel and Z.Ye",,,
30,Single Channel Speech Separation using Deep Recurrent Neural Network via Copula Component Analysis,International Journal of Speech Technology,Journal,2021,2,"Asim Masood, Md Imran Hossain and Zhongfu Ye",,,
30,Independent Vector Analysis based convolutive speech separation using geometric kth nearest neighbor entropy estimator,Machine Learning,Journal,2021,4.3,"Asim Masood, Md Imran Hossain and Zhongfu Ye",,,
30,Dual-Transform Source Separation Using Sparse Non-Negative Matrix Factorization,"Circuits, Systems & Signal Processing",Journal,2021,1.8,"Asim Masood, Md. Imran Hossain, Md. Shohidul Islam, Mst. Titasa Khatun, Rizwan Ullah, Zhongfu Ye",,,
30,A non-invasive cochlear microphonic measurement system,Journal,Journal,2012,2.1,"Asim Masood, P.D.Teal and C.Hollitt",,,
30,Improvement of Joint Optimization of Masks and Deep Recurrent Neural Networks for Monaural Speech Separation using Optimized Activation Functions,Chinese Journal of Acoustics,Journal,2020,1.5,"Asim Masood, Zhongfu Ye",,,
31,Identification of efficient COVID-19 diagnostic test through artificial neural networks approach,Journal of Intelligent Systems,Journal,2021,2.1,"Mustafa Kamal Pasha, Syed Fasih Ali Gardazi, Imtiaz, Asma Talib Qureshi, and Rabia Afrasiab",,,
31,Latency Analysis of an RF Energy Harvesting System with a Backscatter Symbiotic Radio,IEEE Wireless communication and net,Journal,2024,5.1,"Syed Fasih Ali Gardazi, Momin Uppal, Jawwad Nasar Chattha",,,
31,Latency-Optimum NOMA With RF Energy Harvesting and Finite Battery Capacity,IEEE Communication Letters,Journal,2023,4.4,"Syed Fasih Ali Gardazi, Momin Uppal, Jawwad Chattha",,,
31,On achieving throughput optimality with energy predictionâ€“based power allocation in 5G networks,Transaction on Emerging Telecommuni,Journal,2018,2.5,"Syed Fasih Ali Gardazi, Rizwan Ahmed, Hassaan Khaliq, Waqas Ahmed",,,
